JOBID,PROJECT_NAME,JOB_NAME,SOURCE_OBJECT_NAME,TARGET_OBJECT_NAME
2563,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Commission,ODS_P.RES_SW.GROUP_BOOKING,
2573,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Invoice,EDW_P.RES.DIM_VOYAGE_PRORATION,
2573,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Invoice,ODS_P.RES_SW.GROUP_SHIP_REQUEST,
2573,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Invoice,,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2573,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Invoice,EDW_P.RES.DIM_CABIN_CATEGORY,
2573,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Invoice,ODS_P.RES_SW.GROUP_INVOICE_ITEM,
2573,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Invoice,EDW_P.RES.DIM_INVOICE_ITEM_TYPE,
2573,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Invoice,ODS_P.RES_SW.GROUP_BOOKING,
2573,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Invoice,EDW_P.RES.DIM_GROUP,
2573,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Invoice,,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2582,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Amenity_Invoice,EDW_P.RES.DIM_RES,
2582,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Amenity_Invoice,,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2582,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Amenity_Invoice,EDW_P.RES.DIM_VOYAGE_PRORATION,
2582,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Amenity_Invoice,,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2582,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Amenity_Invoice,EDW_P.RES.DIM_VOYAGE,
2582,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Amenity_Invoice,ODS_P.RES_SW.AM_CODE,
2582,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Amenity_Invoice,EDW_P.RES.DIM_INVOICE_ITEM_TYPE,
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,ODS_P.RES_SW.RES_HEADER,
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,EDW_P.RES.DIM_VOYAGE_PRORATION,
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,ODS_P.RES_SW.RES_COMMISSION_DETAIL,
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,ODS_P.RES_SW.RES_PACKAGE,
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,EDW_P.RES.DIM_GUEST,
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,EDW_P.RES.DIM_RES,
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,EDW_P.RES.DIM_VOYAGE,
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,ODS_P_BUSINESS_SUPPORT.RES_SUPP.CURRENCY_EXCHANGE_RATE_SUPP,
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,EDW_P.RES.DIM_INVOICE_ITEM_TYPE,
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,EDW_P.RES.DIM_INVOICE_ITEM_TYPE,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,ODS_P.RES_SW.RES_INVOICE_ITEM,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,ODS_P_BUSINESS_SUPPORT.RES_SUPP.CRUISE_REWARDS_SUPP,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,ODS_P.RES_SW.VCS_ADDITIONAL_FIELD_VALUE,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,EDW_P.RES.DIM_GUEST,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,EDW_P.RES.DIM_RES,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,EDW_P.RES.DIM_VOYAGE,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,EDW_P.RES.DIM_VOYAGE_PRORATION,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,ODS_P_BUSINESS_SUPPORT.RES_SUPP.CURRENCY_EXCHANGE_RATE_SUPP,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,ODS_P.RES_SW.RES_PACKAGE,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,ODS_P.RES_SW.RES_HEADER,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,ODS_P.RES_SW.RES_COMPONENT_COST,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,ODS_P.RES_SW.RES_GUEST,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,ODS_P.RES_SW.RES_PARAM,
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,EDW_P.RES.DIM_RES,
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,ODS_P.RES_SW.RES_PACKAGE,
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,ODS_P.RES_SW.RES_INVOICE_ITEM,
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,ODS_P.RES_SW.RES_HEADER,
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,EDW_P.RES.DIM_INVOICE_ITEM_TYPE,
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,ODS_P.RES_SW.TOUR_CREDIT,
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,EDW_P.RES.DIM_VOYAGE_PRORATION,
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,EDW_P.RES.DIM_VOYAGE,
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,EDW_P.RES.DIM_GROUP,
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,EDW_P.RES.DIM_GUEST,
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,EDW_P.RES.DIM_RES,
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,EDW_P.RES.DIM_INVOICE_ITEM_TYPE,
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,EDW_P.RES.FACT_INVOICE,
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,EDW_P.RES.DIM_VOYAGE,
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,EDW_P.RES.DIM_VOYAGE_PRORATION,
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,ODS_P.RES_SW.AM_CODE,
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,ODS_P.RES_SW.RES_PARAM,
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,ODS_P.RES_SW.RES_HEADER,
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,ODS_P.RES_SW.RES_GUEST,
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,ODS_P.RES_SW.AM_ORDER_ITEM,
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,ODS_P.RES_SW.AM_ORDER_HEADER,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,EDW_P.RES.DIM_VOYAGE,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,EDW_P.RES.DIM_GUEST,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,ODS_P_BUSINESS_SUPPORT.RES_SUPP.CURRENCY_EXCHANGE_RATE_SUPP,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,EDW_P.RES.DIM_VOYAGE_PRORATION,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,ODS_P.RES_SW.AIR_ACTUAL_TICKET,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,ODS_P.RES_SW.AIR_ACTUAL_RES_LINK,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,ODS_P.RES_SW.RES_COMPONENT,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,ODS_P.RES_SW.RES_AIR_INDEPENDENT_SEGMENT,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,ODS_P.RES_SW.RES_HEADER,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,EDW_P.RES.DIM_INVOICE_ITEM_TYPE,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,ODS_P.RES_SW.AIR_ACTUAL_COST_ITEM,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,ODS_P.RES_SW.PASSENGER,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,ODS_P.RES_SW.AIR_ACTUAL_HEADER,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,ODS_P.RES_SW.RES_GUEST,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,EDW_P.RES.FACT_INVOICE,
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,EDW_P.RES.DIM_RES,
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,ODS_P.RES_SW.RES_ADDON,
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,EDW_P.RES.DIM_VOYAGE,
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,EDW_P.RES.DIM_VOYAGE_PRORATION,
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,ODS_P.RES_SW.VCS_ADDITIONAL_FIELD_VALUE,
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,EDW_P.RES.DIM_GUEST,
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,ODS_P.RES_SW.AM_CODE,
